Unique Merchant SKU	Product Name	Product URL	Image URL	Current Price	Stock Availability	Condition	EAN	UPC	ISBN	MPN	Shipping Rate	Original Price	Coupon Code	Coupon Code Description	Manufacturer	Product Description	Product Type	Category	Category ID	Parent SKU	Parent Name	Top Seller Rank	Estimated Ship Date	Gender	Color	Material	Size	Size Unit of Measure	Age Range	Cell Phone Plan Type	Cell Phone Service Provider	Stock Description	Product Launch Date	Product Bullet Point 1	Product Bullet Point 2	Product Bullet Point 3	Product Bullet Point 4	Product Bullet Point 5	Alternative Image URL 1	Alternative Image URL 2	Alternative Image URL 3	Alternative Image URL 4	Alternative Image URL 5	Mobile URL	Related Products	Merchandising Type	Product Weight	Zip Code	Shipping Weight	Weight Unit of Measure	Format	Unit Price	Bundle	Software Platform	Watch Display Type	ProductBid	Text1	Text2	Text3	Numeric1	Numeric2	Numeric3	Money1	Money2	Money3	Currency	Shipping Region	Labels	Promotion
7228207	Ahamed Weinberg	https://vivid-seats.pxf.io/c/4969747/1017970/12730?prodsku=7228207&u=https%3A%2F%2Fwww.vividseats.com%2Fahamed-weinberg-tickets-portland-helium-comedy-club---portland-10-23-2026--theater-comedy%2Fproduction%2F7228207%3Futm_term%3Dproduction-7228207&intsrc=CATF_7904	https://media.vsstatic.com/image/upload/hero/category/11-comedy/comedy-tickets-1.jpg	62.00														Theater																																							Helium Comedy Club - Portland	Portland	1510 SE 9th Ave, Portland, OR 97214	45.95	53.73		65.29	62.00	62.00	USD			
7228201	Ahamed Weinberg	https://vivid-seats.pxf.io/c/4969747/1017970/12730?prodsku=7228201&u=https%3A%2F%2Fwww.vividseats.com%2Fahamed-weinberg-tickets-portland-helium-comedy-club---portland-10-22-2026--theater-comedy%2Fproduction%2F7228201%3Futm_term%3Dproduction-7228201&intsrc=CATF_7904	https://media.vsstatic.com/image/upload/hero/category/11-comedy/comedy-tickets-1.jpg	55.00														Theater																																							Helium Comedy Club - Portland	Portland	1510 SE 9th Ave, Portland, OR 97214	40.76	47.66		60.38	55.00	55.00	USD			
7228209	Ahamed Weinberg	https://vivid-seats.pxf.io/c/4969747/1017970/12730?prodsku=7228209&u=https%3A%2F%2Fwww.vividseats.com%2Fahamed-weinberg-tickets-portland-helium-comedy-club---portland-10-24-2026--theater-comedy%2Fproduction%2F7228209%3Futm_term%3Dproduction-7228209&intsrc=CATF_7904	https://media.vsstatic.com/image/upload/hero/category/11-comedy/comedy-tickets-1.jpg	63.00														Theater																																							Helium Comedy Club - Portland	Portland	1510 SE 9th Ave, Portland, OR 97214	46.69	54.59		65.38	63.00	63.00	USD			
7228211	Ahamed Weinberg	https://vivid-seats.pxf.io/c/4969747/1017970/12730?prodsku=7228211&u=https%3A%2F%2Fwww.vividseats.com%2Fahamed-weinberg-tickets-portland-helium-comedy-club---portland-10-24-2026--theater-comedy%2Fproduction%2F7228211%3Futm_term%3Dproduction-7228211&intsrc=CATF_7904	https://media.vsstatic.com/image/upload/hero/category/11-comedy/comedy-tickets-1.jpg	68.00														Theater																																							Helium Comedy Club - Portland	Portland	1510 SE 9th Ave, Portland, OR 97214	50.40	58.93		68.43	68.00	68.00	USD			
7228203	Ahamed Weinberg	https://vivid-seats.pxf.io/c/4969747/1017970/12730?prodsku=7228203&u=https%3A%2F%2Fwww.vividseats.com%2Fahamed-weinberg-tickets-portland-helium-comedy-club---portland-10-23-2026--theater-comedy%2Fproduction%2F7228203%3Futm_term%3Dproduction-7228203&intsrc=CATF_7904	https://media.vsstatic.com/image/upload/hero/category/11-comedy/comedy-tickets-1.jpg	55.00														Theater																																							Helium Comedy Club - Portland	Portland	1510 SE 9th Ave, Portland, OR 97214	40.76	47.66		61.63	55.00	55.00	USD			
6854996	Akeem Ali	https://vivid-seats.pxf.io/c/4969747/1017970/12730?prodsku=6854996&u=https%3A%2F%2Fwww.vividseats.com%2Fakeem-ali-tickets-portland-hawthorne-theatre-10-24-2026%2Fproduction%2F6854996%3Futm_term%3Dproduction-6854996&intsrc=CATF_7904	https://media.vsstatic.com/image/upload/hero/category/15-rap-hip-hop/rap-hip-hop-tickets-1.jpg	58.00														Concert																																							Hawthorne Theatre	Portland	1507 SE 39th Ave, Portland, OR 97214	42.99	50.26		221.60	58.00	58.00	USD			
7269753	Al Di Meola	https://vivid-seats.pxf.io/c/4969747/1017970/12730?prodsku=7269753&u=https%3A%2F%2Fwww.vividseats.com%2Fal-di-meola-tickets-portland-aladdin-theater-9-30-2026%2Fproduction%2F7269753%3Futm_term%3Dproduction-7269753&intsrc=CATF_7904	https://media.vsstatic.com/image/upload/hero/category/19-blues-jazz/blues-jazz-tickets-1.jpg	105.00														Concert																																							Aladdin Theater	Portland	3017 SE Milwaukie Ave, Portland, OR 97202	77.82	90.99		117.56	105.00	105.00	USD			
7554809	Alan Walker	https://vivid-seats.pxf.io/c/4969747/1017970/12730?prodsku=7554809&u=https%3A%2F%2Fwww.vividseats.com%2Falan-walker-tickets-portland-mcmenamins-crystal-ballroom-3-4-2027--concerts-dance-electronica%2Fproduction%2F7554809%3Futm_term%3Dproduction-7554809&intsrc=CATF_7904	https://media.vsstatic.com/image/upload/hero/category/60-dance-electronica/dance-electronica-tickets-1.jpg	145.00														Concert																																							McMenamins Crystal Ballroom	Portland	1332 West Burnside St, Portland, OR 97209	107.47	125.65		145.00	145.00	145.00	USD			
7559734	Alaska Thunderfuck	https://vivid-seats.pxf.io/c/4969747/1017970/12730?prodsku=7559734&u=https%3A%2F%2Fwww.vividseats.com%2Falaska-thunderfuck-tickets-portland-aladdin-theater-5-11-2027%2Fproduction%2F7559734%3Futm_term%3Dproduction-7559734&intsrc=CATF_7904	https://media.vsstatic.com/image/upload/hero/category/62-arts-theater/arts-theater-tickets-1.jpg	130.00														Theater																																							Aladdin Theater	Portland	3017 SE Milwaukie Ave, Portland, OR 97202	96.35	112.65		130.83	130.00	130.00	USD			
7124612	Alborosie	https://vivid-seats.pxf.io/c/4969747/1017970/12730?prodsku=7124612&u=https%3A%2F%2Fwww.vividseats.com%2Falborosie-tickets-portland-the-melody-event-center---the-get-down-music-venue-10-20-2026%2Fproduction%2F7124612%3Futm_term%3Dproduction-7124612&intsrc=CATF_7904	https://media.vsstatic.com/image/upload/hero/category/54-reggae/reggae-tickets-1.jpg	48.00														Concert																																							The Melody Event Center - The Get Down Music Venue	Portland	615 SE Alder St Suite B, Portland, OR 97214	35.58	41.59		104.84	48.00	48.00	USD			
6637136	Aldous Harding	https://vivid-seats.pxf.io/c/4969747/1017970/12730?prodsku=6637136&u=https%3A%2F%2Fwww.vividseats.com%2Faldous-harding-tickets-portland-revolution-hall-portland-9-24-2026--concerts-country-and-folk%2Fproduction%2F6637136%3Futm_term%3Dproduction-6637136&intsrc=CATF_7904	https://media.vsstatic.com/image/upload/hero/category/14-country-folk/country-folk-tickets-1.jpg	115.00														Concert																																							Revolution Hall Portland	Portland	1300 SE Stark Street #110, Portland, OR 97214	85.23	99.65		115.00	115.00	115.00	USD			
